text,sarcastic
STOP TREATING MARS LIKE A BACK-UP BOYFRIEND JUST FIX YOUR CURRENT RELATIONSHIP WITH EARTH BECAUSE YOU CAN'T LIVE HERE.,1
I just don't think it's too much to have a perfect life with absolutely no problems 🤷🏻‍♀️,1
The control button just fell off my laptop. How symbolic for my life.,1
"make it illegal to say/write ""Dems in disarray"" on account of it being stupid as fuck",1
a level tudor history can do one,1
Can't wait until I live to be 110 years old and I have people asking me how I've lived for such a long time so that I can make up some hyper-specific secret to longevity that people will inevitably follow,1
ugh I have to send an email??? how about I just quit!!!!!,1
"Day 3. Luggage arrived, thanks @AirFranceFR. Non random Hungarian underwear. Talk delivered. Science sated. #metaxa http://t.co/6KPjLezQOF",1
went to check out the bios of the (exclusively) hipster dudes that work in a rival boutique goods store and found out they all traveled internationally during the pandemic 🙃🙃🙃,1
So in other news I just held the door open for Bam Adebayo &amp; then I fell down the stairs &amp; I think I broke my finger.. ya I'm THAT smooth,1
I can't believe today is the last day we can be gay.,1
did you actually fly on a plane if you didn't post a picture of the view from your window?,1
"Seeing as Kanye West has a range of clothing with Gap, how about me and you do a collab @FandFclothing",1
i love jumping on zoom meetings where everyone is talking about their kids &amp; i'm stuffing my face with taco bell,1
it's always the girls I don't even know that wanna talk about me 24/7 :) I love my fans :),1
@igreen95 thx for the play by play,1
who thinks me and sam should start a band called 'teeth at midnight' 🦷🌙,1
omg there's a sheet of ice in front of my school. should I slip and fall?,1
I wish that grilled cheese helped you get that summer bod,1
I called out an insta post for fat shaming and am now being told that making fun of someone having no neck is “not making fun of someone's appearance” !!! The more you know guys!,1
@andy_mansell72 @VicOtley @garry_whu @NiaAnts @davidschneider Finally someone is speaking up for the billionaires.,1
"@mjborshell @garygilligan Hasn't he opened a few new hospitals? Oh sorry, maybe it was a new first aid box.",1
yeah your girl is fine but does she pass out while giving blood,1
"I recovered a repressed memory today of working at @kumandgo in high school 13 years ago &amp; having to answer the phone as “we go all out at Kum &amp; Go, this is Shelby. How can I help you?” And the prank calls that led to. Pretty sure K&amp;G owe me therapy.",1
Accidentally made a friend in ASL today. I hate when that happens.,1
"@BoardroomBoy Few links for you. To summarise, wearing face masks seems to be more effective than not. Who'da thunk...",1
Kind of rude of my stomach to still make whale noises after I've given it a whole protein bar,1
Because of #Trump I now don't have to worry about other countries making fun of me for being fat! 🍩🍫🍰🍕 #Thankstotrump #America,1
Overthinking everything in life really takes a toll on you,1
Man I just love it when I'm forced to pitch two games back to back bc our other pitcher didn't show up,1
I've seen a lot of people on local Facebook groups asking AirBnB owners if they have any availability recently. If only there was a website you could use to find out if an AirBnB was available 🤔,1
@SuspendThePres But what were the ratings??  (Replied to his Tweet with the same thing.),1
dont you love it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,1
@MollyJongFast I think it should be allowed for customer service workers to squirt water into their face like how they do sometimes to train pets,1
Taxes  are just the best and I cannot wait to pay more 😇🥰🥺,1
"Goodness my parents are actually watching something on Apple TV+, brilliant, yet another streaming service! 😪",1
alright I'm ready for some march madness🏀🔥,1
I still can't believe England won the World Cup,1
dont u just love when u get ready for a cancelled date two hours early . . . yeah i wasnt excited or anything,1
wouldn't it be cool if i could spontaneously combust,1
Efy is great,1
@sonofsama1 @Santandave1 you're trash,1
cold queso is so much better than warm queso https://t.co/5TaMe4aSO6,1
Wow it's almost as if it's their literal job to have a lot of knowledge about a wide array of subjects.. Funny that https://t.co/NGi02vXxnK,1
It's really very selfish of Silverstone to be saying the 2022 Grand Prix is 1/7-3/7 cause my holiday year starts on 1/7 and I would have to use a day of this years holiday allowance to go. I should have been consulted really 😵‍💫😵‍💫😵‍💫,1
"""are you experiencing suicidal or homicidal ideation?""
""only while trying to talk to a human when I call @Walgreens pharmacy""",1
Just getting some WD40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #WD40,1
"I'm sorry, but if you message me on Instagram wanting me to help you sell your fit tea and wraps, I'm leaving you on read. 🙃",1
wow i love only ever buying gray and striped shirts,1
no more instagram. we must all return to scrapbooks.,1
"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.",1
Thank god I just accidentally snapped a rando guy from high school ‘yas queen' with acne cream all over my face,1
"I hurt my foot like 3 days ago,  I have no idea how, but it hurts to put pressure on it. Love that for me",1
"me: trying to sleep slightly earlier than usual bc I feel like shit 
my friend, texting the group chat 13 separate times at nearly 4am: hello I don't think so! how abt I tell u abt how bad things are going instead :)",1
Thank you to my apartment complex for consistently cutting the grass at 8 am every Thursday for ~5 hours. It's definitely not super obnoxious or bothersome ☺️☺️,1
"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock, and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest, most enjoyable start to any workday.",1
"Sometimes I feel like all this effort is just like sticking diamond encrusted alloys on a knackered Corsa. I mean, shit is what it is at the end of the day.",1
a single man directed by tom ford simultaneously resurrected me from death only to brutally murder me once more.,1
"Hey Siri, how do I stop simping?",1
we love mixed signals🙄,1
Hey does anyone know of any organizations that have massive stockpiles of money that could be super useful to the world during a public crisis?????,1
Wow Bdubs can bench press 150 kilometers,1
"Nothing screams “I'm a glamorous cosmopolitan woman” like following your dog down the street in the midst of winter, saying “go potty! Go POTTY!” over and over again.",1
"Heard a rumor that Baja Blast is coming to stores and regardless if anything else I hope for in life falls through, at least I'll have this.",1
@KhoaVuUmn Reviewer 2: this is a very weak paper that fails proof of concept. Stating a cat bed is also a wizard's hat is totally wrong and your data cannot support this,1
A wrong impression is once again my specialty,1
if trees would simply stop producing flammable leaves climate change would not be an issue,1
haven't written in months cuz there are no male teachers to impress 😣,1
hey quick question is it fall or spring???,1
when the toilet seat is warmed up for you&gt;&gt;&gt;,1
@PlayStationUK Nice,1
me and noah forgot that today is our anniversary. if that isn't couple goals then idk what is 😌,1
I can't wait to hear more about the life of an upper middle class East Asian American whose only personality trait is drinking boba tea https://t.co/SapbXLd0r2,1
Hey what's the weather like today? Am I going to need an umbrella?,1
trying to figure out how to use notion for my anime list. I think i'm dying,1
Do you think anyone on Bachelor in Paradise has seen Oscar winner Parasite?,1
"""your pronouns are what's in your pants"" ok. juicy/dumper",1
"It's so amazing how people forget you exist until they want something from you :,)",1
"2 things I love:
1. Being woken up by construction work an hour before my alarm.
2. Sarcasm.",1
How bout you dont use a gazillion filters on your pictures,1
"finished the queen's gambit, i loved a look into the 1960s in the american south with no racism just vibes",1
Wow it's almost like we don't nap every single day at the exact same time wow how dare I try to do the thing we do every single day!,1
@brruhia Nah bruh you just drinking it upside down 😂,1
@raerenyse Easily one of the worst and most damaging takes for both trans AND cis women I have seen thus far. Congrats on reaching new levels of awful lmao,1
@PoliticalOrgy I thing you might be on to somethink!🙄,1
"Here comes the final of the UK #DailyBriefing - who will win, Johnson or Covid?",1
"""You're not a normal white girl"" lol ok",1
Great time for sim and I to have our weekly life update.... 🌛🌜🐨 (closest thing to an owl) 💤💤💤💤💤😴,1
I love when you go to shop for plus size clothing and it's always just shoved under women's and it doesn't have any subcategories so u just have to wade thru everything like a pig being thrown slop,1
"@richardosman @GMB @susannareid100 @piersmorgan You've a book out? I hadn't realised.

Yes, you've already read this 8763 times this week, but hey.",1
Hahahah @LibertyU is shutting down the entire campus for quarantine!! Couldn't happen to a nicer group of Covid deniers! #CovidIsNotOver #karmaisabitch #Covid_19,1
Brother's off on a night out and I've gone to bed cos I feel exhausted and sick.... excellent 👍🏻,1
“The App Store [is]... an economic miracle” 🙄 but Apple magic not working today at #AntiTrustHearings #Apple stifles innovation that is the lifeblood of our economy. -Lucy McBath speaking some truth today #HouseJudiciary https://t.co/2swhC9daBM,1
I love how they blur out Tristan's face in this season of the kardashians LMAO like hmmmm I wonder who that mysterious man is,1
In sunny spain at the moment!!! Hows it all in england?,1
my super power is always biting into the sour cream side of the burrito no matter what,1
if you display your pop funkos in the box then you're a tory,1
#HappyBirthdayKeanuReeves Keanu Reeves is so wholesome ☺️,1
"Don't worry, 20 something people who follow me here, I brushed my hair for the first time in a week today. I know, impressive.",1
@kmflett And with a plentiful supply of rhubarb.,1
Hearing Kendrick Perkins refer to Alec Burks as Alecs Burk like he's attorneys general &gt;&gt;&gt;&gt;,1
"Wait didn't covid go away?? It's after November third so it definitely should be gone now...wait...I'm confused...121,000 cases in a day? You're telling me THE WHOLE WORLD didn't fake a pandemic for the US election? No way...",1
We really need to remind people that universal healthcare means never needing to sit through another annual explanation of benefits meeting,1
wow. i left on time today and the airport connector is all the way backed up. love that,1
maybe i am a cyber bully,1
"""@elliekonsker: FLORIDA YOU LITERALLY HAVE ONE JOB""",1
Andrews really trying to explain to me that football and rupauls drag race aren't the same thing when it in fact is the same thing.,1
day 5 of people being mad about ellen sitting by gw bush is when we'll finally get to the bottom of this,1
"Cool guy in a big truck honked really long at the garbage truck because it slowed down to turn; I felt he wanted everyone to know how cool he is, so I decided to tweet about it on his behalf.",1
NOT OLIVIA RODRIGO TRAITOR IN THE BACKGROUND #LoveIsland,1
i've never had protected sex,1
"Duodenum, Jejunum, and Ilium would be cute names for triplets, don't @ me",1
Only yelled at one person while biking home this evening. Improvement!,1
".@taylorswift13 is 100% going to post another photo with 5 holes in a fence 5 days before Lover is released, isn't she?",1
the fact that “breaking: school shootings preventable” was an actual headline on nbc tonight is actually laughable,1
I love when I start choking on my water in my 8 person class,1
Whoop diddy scoop poop,1
@WilliamShatner Mr Shatner whilst you were sleeping you asked me to join Facebook messenger and then after a polite conversation you then offered me gold necklaces and a singed (sic) tee-shirt - you made my Friday night sir... just awaiting your instructions so I can wire the money...,1
is it illegal to discriminate against someone on the basis that they have a joker tattoo,1
it's been 20 hours and i want another chai latte with pumpkin cold foam i can't afford this!,1
"It would be a real shame if people shared this around and filled it with fake info. People should definitely not do that 😉
https://t.co/Px7dYqjh3I",1
"Well done Henri, cost us the win #nffc",1
I love not being pregnant so much it's my fave thing about myself,1
@ray_harren @tkinsonn buy really rare pokemon card,1
"you like ketchup but not tomatoes???

grow up",1
Big day in the Mumford house #sports day,1
@ShareZone5 @StockpickB You are a right bundle of laughs to take to the pictures Draft!,1
"“If I could have changed anything about my childhood I would have never watched spongebob”

-no one",1
"#bbcqt It sure would be nice if Ms May decided to answer a question, rather than dance readily around it.",1
Does anyone not know Prince Harry got engaged? I don't think there's been enough in the news about it.,1
@sadgirlkali Make your husband agree to let you die first. FUN date topic for discussion,1
im ollie im 5'8 and i think my 5'7 boyfriend is short,1
"Tonight @ dinner I sat by &amp; chatted w/ the former chancellor of Ole Miss, a former Miss MS, &amp; the owner of the Miss America pageant

Casual.",1
wow this growth spurt is really taking longer than i thought haha,1
"Quarantine Day 256: Dear Ancient Greeks, re: the blanket-wearing—I get it. #QuarantineLife",1
my bf took my off his lock screen which obvi means he's cheating on me,1
Gonna go cry now some no face told me to lose weight x,1
'Margaret Thatcher' is trending... has 2016 taken another one?,1
"Hear me out... The lyrics in ""coney island"" should've been ""lost again with no surprises, disappointments close your EYESES"" 

Fixed it for you @taylorswift13 😉

#evermorealbum 
@taylornation13",1
"At least half of my days are still bad days and let me tell you, i've never once killed 8 people because of it. A true miracle apparently",1
Of course the moment I front the system is in utter chaos 🥴,1
"Day 38 of quarantine is an interesting time to get a new drum kit, neighbor",1
Hate this site [CHIRPBIRDICON],1
did you know there is a direct correlation with how cool someone is and how high they cuff their pants?,1
@McDonaldsUK Would love a cheeky McDonald's breakfast before a busy day at work would set the day off on the right foot ! 💓 #FancyAMcDonalds,1
I swear this triller event is run by teenagers,1
What kind of sins have y'all been committing for God to punish us with this kinda weather...,1
I'm really looking forward to not hugging my friends and family through choice rather than by law.,1
Men will literally fake an injury on the football field instead of going to therapy,1
I don't think Republicans have any self awareness or any idea of how the world works... Nice try though.,1
There is not enough people here #ivoryrooms,1
I love online shopping because if I am physically in a store and an employee even looks at me I will immediately leave.,1
WHO LET THE LAUNDRY PILE UP 5 BASKETS. Goodness.,1
Boehner not clapping for gender pay equality. COOL.,1
"Drop in Center to let people get the 1st or 2nd Vaccine open today . I went thinking I was able to get my 2nd one .
Wait in the que 30 mins .sits down arm ready to get ! 
Sorry your 12hrs to early !!! 
We cannot vacinate you till 56 days !!! @NicolaSturgeon #Seriously",1
"""I'm concerned about the environmental impact of my contact lenses,"" says the occasional daily wearer, throwing their Starbucks cup in the test room bin.",1
Shout out James Boswell  #unibowl,1
@ThomasCabaret84 @MicrobiomDigest @raoult_didier Surely you're not suggesting that their own thorough investigation of their own suspected &lt;fraud&gt; (which found no evidence for said &lt;fraud&gt;) was carried out with anything but the very  highest levels of integrity? Seems completely legit to me…,1
@xNemoooo @McDonaldsUK @tasshx Say swear you didn't down all bev's at Acapulco's straight after?? 😘,1
I got called ugly on Twitter by an uneducated teen who refuses to show his face:( I'm gonna cry myself to sleep😭 I'm in gut wrenching pain!,1
"@benshapiro it's true, every time my little cousins put on their masks they choke to death and have to be revived. it's very stressful for us.",1
Just dislocated my fucking knee again while out on a walk 🙃🙃🙃 FAB,1
Headaches that last all day nonstop🥰😍,1
"Pissed off at @TMobile_USA and just want out of my contract, but I'm sure that would just be way too easy, ugh :(",1
Football is turning into an anatomy lesson. COOL,1
"@BIGRXD12 ah yes, people with eating disorders, famous for easily being able to not worry about their weight",1
"As if I didn't know this anyway!
I'm an Owl according to the #BBCBodyClock quiz – what are you? https://t.co/vM07K82CTg",1
i would kill a man for a forehead kiss rn,1
Mental shoot out ends. Silent pause. Sirens start 🚨 Always so perfectly timed 🚔🚓👍🏽 #LineOfDuty #LineofDuty6 #LOD6 #LOD,1
Love being called the devil for taking away someone's phone at summer school🤗🤗🤗,1
everyone pls stop shooting fireworks my dog is scared :(,1
I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,1
@tedcruz @Dream worst timeline,1
@BBCAMERICA Thanks for disrupting your narrative continuity with commercial break previews. #SpoilerAlert,1
"i love how i literally just finished watching the fifth hp film and then turned to my mum and said ""love a good bit of character death on a sunday :)""
the dsmp lore has utterly ruined my attachment to characters and how i see stories now. i am a broken woman.",1
i went outside today and suddenly my depression is cured,1
Can't wait to be back at uni so I can order more shoes and clothes without my mum telling me off x,1
love when the train stops in philly and everybody boards and of a sudden it smells like a ham sandwich,1
"Thanks @Tesco for not informing me that my click and collect order had been cancelled when my account says it's ready to collect my partner has had to travel unnecessarily to Stafford and we still don't have our shopping, good diet I guess having to wait for my 26th delivery slot https://t.co/xq9oXEkw8o",1
My dream is to be left alone.,1
@lora__ SHOCKED. How am I supposed to tell the kids they're not going to Disneyland on June 21st after all? It's already been cancelled 36 times! https://t.co/SV8gpPn6yw,1
@BorisJohnson @MattHancock Oh really?,1
we happy!!!!!!!!!!,1
"first day of work, and i've already cried on the job 👍",1
The fact I nearly froze on my way to work this morning is definitely a sign it's not summer anymore #freezing,1
"Damn, imagine being vaxxed and then getting a cold and then losing your taste and smell.

Oh wait.",1
Is this first Cybex isokinetic dynamometer? @DrAndrewBateman #PRS2021,1
"how you gonna ask me how i'm doing “on this fine labor day” while you're off, as I'm ringing you out, on labor day.
how do you think i am 💀",1
apparently it's national siblings day? idgaf 💀,1
Worked out 2 days in a row. I am quite literally the epitome of health and fitness,1
yes i have little interest in doing things that applies to me,1
If you ever wanted to know what it feels like to have dyslexia I would recommend the book House of Leaves.,1
"@DanielIngolfur @The_Timbrodini @ViQueen55 @tedcruz I know, right? He even wanted poor people to be healthy, because he was basically a fucking communist. What a hippie.",1
"@DylanPetit17 @jaredj5 Let's listen to Dylan Petit over actually doctors, biologists and epidemiologists. 🙄",1
Don't let people walk all over you. Or breathe on you. Either one.,1
Kepa had a great game,1
I am starting off my day by watching a Dragons Den special on Deborah Meaden and eating a Pot Noodle. My life is perfect.,1
"@Moffstovoi Well done! With the better coaching now available, can we expect a decent wee victory tomorrow? 😅",1
@stockwa16053563 @PeterGWall @michael_saylor Michael Saylor is efficient in his line of questioning. Feels like more an interrogation 😂⭕️,1
"I'd like to thank middle aged men watching the Olympics for solving the mental health crisis. Getting someone to shout ""get some perspective"" at every athlete struggling with anxiety will definitely solve their problem.",1
does ur dad hate you for no reason or are you normal?,1
I miss walking up 3 flights of stairs for class and having to catch my breath in the bathroom 😩,1
this is my 3rd time taking a biology course and it's so EASY wow i love biology so much i'm so glad i'm so good at this subject.,1
Hot dog eating contest as a form of assisted suicide,1
Being 20 years old and going to concerts with my mom means I can scream all the no-no lyrics bc iM aN aDuLt,1
it'd be nice if missguided actually had stock for once🙂🙂🙂,1
first game not starting when it's supposed to? a UCF tradition,1
Having a bad week but what else is new!! At least I finally got paid 💕😭,1
im about to just walk into a place and start working then and there and they'll have no choice but to hire me on the spot,1
just stuck my entire hand in a hot oven without thinking about the consequences. self preservation is clearly my strong suit,1
Turnover is the best band to cry to/drive to/daydream to/fall asleep to/ reminisce to/die to,1
"Congratulations to Trump on his second impeachment. It's a tremendous achievement borne of hard work, focus and dedication. Record breaking. Historic. Bigly. #ImpeachmentDay #TrumpImpeachment2",1
yeah i enjoy some oregano on a nice pasta dinner (dumps oregano on mac n cheese),1
everytime i swipe through bumble when i'm bored i just get sad that no one has the same complex interests as me….rude 😤🙄 /j,1
Sitting next to the world's loudest mouth-breather on the first day of class did a really good job of demystifying grad school for me today,1
every date I go on I get a little scared will be phone swap,1
Nothing warms my heart more than seeing everybody come together and attack Westside's administration ❤️ #WycoPride #YeeYee,1
"Blatantly obvious that Lionel Messi is now set for a move to Leeds.

The Newell's old boys network.",1
"Can't wait to get home take a big ass antihistamine and roll in some topical steroids.

Damn it, skin! What did I ever do to you?!?!",1
"“tit for tat, butter for fat, you kill my dog, i eat your cat” is a liberian proverb for “an eye for an eye”. my ancestors were spittin'",1
@Chris_Ransom @CityView1904 @Uzzell01 @BBCSport Aware she was not a tennis player when she left Canada at 2 yrs old?? aware she did not pick up a tennis racket until 6 years old??.aware last12 years trained at the same tennis club in Bromley Kent England??the girl is British no haters or doubters will take that away from her,1
was not aware that Crocs were appropriate business casual attire.,1
"On a scale from 1 to 10 how deeply was your childhood influenced by the Hannah Montana 2: Meet Miley Cyrus double album?

This is for research purposes.",1
"Oh? You're a real anime fan? Name all the Boku no Pico characters, I'll wait.",1
